2027-08-02 00:00 - 23:30 | 19-30 | Арена - МАССОВЫЕ КАТАНИЯ
2027-08-03 00:00 - 23:30 | 19-30 | Арена - Тренировки АКАДЕМИЯ
2027-08-04 00:00 - 23:30 | 19-30 | Арена - Тренировки АКАДЕМИЯ
2027-08-05 00:00 - 23:30 | 19-30 | Арена - Тренировки АКАДЕМИЯ
2027-08-06 00:00 - 23:30 | 19-30 | Арена - Тренировки АКАДЕМИЯ
2027-08-07 00:00 - 23:30 | 19-30 | Арена - Тренировки АКАДЕМИЯ
2027-08-26 00:00 - 23:30 | 19-30 | Арена - Предсезонный Турнир им. В. Блинова
2027-08-27 00:00 - 23:30 | 19-30 | Арена - Предсезонный Турнир им. В. Блинова
2027-08-28 00:00 - 23:30 | 19-30 | Арена - Предсезонный Турнир им. В. Блинова
2027-08-29 00:00 - 23:30 | 19-30 | Арена - Предсезонный Турнир им. В. Блинова
2027-08-30 00:00 - 23:30 | 19-30 | Арена - Предсезонный Турнир им. В. Блинова
2027-08-31 00:00 - 23:30 | 19-30 | Арена - Предсезонный Турнир им. В. Блинова
2027-09-03 00:00 - 23:30 | 19-30 | Арена - КОНЦЕРТ ФИЛИПП КИРКОРОВ
2027-09-04 00:00 - 23:30 | 19-30 | Арена - КОНЦЕРТ группы Ария
2027-09-22 00:00 - 23:30 | 19-30 | Арена - КОНЦЕРТ БАСТА
2027-09-24 00:00 - 23:30 | 19-30 | Арена - КОНЦЕРТ АГУТИН
2027-09-25 00:00 - 23:30 | 19-30 | Арена - КОНЦЕРТ НЮ

